Scale: 1 px = 0.02445 mm

Pomiar do skali 1: 50.00 mm
Pomiar 2: 3.447 mm
Pomiar 3: 3.594 mm
Pomiar 4: 3.790 mm
Pomiar 5: 3.985 mm
Pomiar 6: 3.961 mm
Pomiar 7: 3.716 mm
Pomiar 8: 3.814 mm
Pomiar 9: 3.667 mm
Pomiar 10: 3.325 mm
Pomiar 11: 3.570 mm
Pomiar 12: 3.692 mm
Pomiar 13: 3.765 mm
Pomiar 14: 3.619 mm
Pomiar 15: 3.130 mm
Pomiar 16: 3.154 mm
Pomiar 17: 3.276 mm
Pomiar 18: 3.276 mm
Pomiar 19: 3.081 mm
Pomiar 20: 2.885 mm
Pomiar 21: 2.983 mm
Pomiar 22: 2.983 mm
Pomiar 23: 3.130 mm
Pomiar 24: 3.301 mm
Pomiar 25: 3.447 mm
Pomiar 26: 3.839 mm
Pomiar 27: 4.156 mm
Pomiar 28: 4.841 mm
Pomiar 29: 4.352 mm
Pomiar 30: 2.885 mm
