Scale: 1 px = 0.02438 mm

Pomiar do skali 1: 50.00 mm
Pomiar 2: 4.291 mm
Pomiar 3: 4.461 mm
Pomiar 4: 4.047 mm
Pomiar 5: 3.681 mm
Pomiar 6: 3.901 mm
Pomiar 7: 4.144 mm
Pomiar 8: 4.339 mm
Pomiar 9: 4.242 mm
Pomiar 10: 3.681 mm
Pomiar 11: 3.340 mm
Pomiar 12: 3.340 mm
Pomiar 13: 3.511 mm
Pomiar 14: 4.144 mm
Pomiar 15: 3.413 mm
Pomiar 16: 3.754 mm
Pomiar 17: 3.998 mm
Pomiar 18: 4.144 mm
Pomiar 19: 4.023 mm
Pomiar 20: 3.827 mm
Pomiar 21: 3.608 mm
Pomiar 22: 3.779 mm
Pomiar 23: 3.925 mm
Pomiar 24: 3.706 mm
Pomiar 25: 4.023 mm
Pomiar 26: 3.852 mm
Pomiar 27: 3.316 mm
Pomiar 28: 1.975 mm
Pomiar 29: 4.291 mm
Pomiar 30: 4.437 mm
